Type,Immediate_vs_Future,Segment,Package_Type,Mega_Flavor,Seasonality,q2_2018,q3_2018,q4_2018,q1_2019,sales
GUMMY,FUTURE,GUMMY,PEG BAG,FRUIT,EVERYDAY,51418,127106,145721,151929,1722103
FRUITY CHEWY,FUTURE,MAINLINE,LAYDOWN BAG,FRUIT,EVERYDAY,203054,54275,17469,8329,94280
GUMMY,FUTURE,GUMMY,STANDUP BAG,ASSORTED,EVERYDAY,144812,149141,230694,350267,841437
GUMMY,FUTURE,GUMMY,PEG BAG,SOUR,EVERYDAY,718,169,320940,17334,241314
FRUITY CHEWY,FUTURE,MAINLINE,STANDUP BAG,SOUR,EVERYDAY,178437,172837,159645,91298,2708112
LICORICE,FUTURE,SUGAR FREE CANDY,PEG BAG,FRUIT,EVERYDAY,153012,156020,174217,175819,1852647
FRUITY CHEWY,FUTURE,MAINLINE,PEG BAG,SOUR,EVERYDAY,1161,6491,12705,21433,1162534
NOVELTY,FUTURE,KIDS NOVELTY,STANDUP BAG,FRUIT,EVERYDAY,122,139874,607115,132,3615035
GUMMY,FUTURE,GUMMY,BOX,SOUR,EVERYDAY,109,56323,184858,441,317717
FRUITY CHEWY,IMMEDIATE,MAINLINE,THEATER BOX,FRUIT,EVERYDAY,25,10,635384,4643,810539
ASSORTMENT MIXES,FUTURE,ASSORTMENT MIXES,BOX,ASSORTED,EVERYDAY,82,279196,709414,292,964252
CANDY CANE,FUTURE,NOT APPLICABLE,BOX,FRUIT,SEASONAL,90,22029,63410,1130,101171
GUMMY,IMMEDIATE,GUMMY,SHARE SIZE,FRUIT,EVERYDAY,50664,149148,455433,43603,804023
AO CHEWY,IMMEDIATE,CLASSIC FAVORITES,SINGLE SIZE,ALL OTHER,EVERYDAY,11,1,752653,9865,714808
GUMMY,FUTURE,GUMMY,STANDUP BAG,ASSORTED,EVERYDAY,169550,205787,182556,194118,1812940
FRUITY CHEWY,FUTURE,MAINLINE,LAYDOWN BAG,FRUIT,EVERYDAY,212330,324034,720089,164905,1471840
GUMMY,FUTURE,GUMMY,LAYDOWN BAG,SOUR,EVERYDAY,877,217,513399,22484,467201
AO CHEWY,FUTURE,NOT APPLICABLE,BOX,ALL OTHER,SEASONAL,183899,177749,165428,157134,875596
GUMMY,FUTURE,MAINLINE,PEG BAG,SOUR,EVERYDAY,60522,110289,104541,69740,2867402
